Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Kyle Karros,COL,3B,402,0.16,41.0,62.4,20.8,24.8,88.8,39.5,68.3,45.9
Corbin Carroll,AZ,RF,544,0.16,44.7,62.1,23.0,29.4,80.7,24.4,64.5,45.5
Gleyber Torres,DET,2B,321,0.16,42.1,63.3,19.9,18.4,85.5,23.0,65.6,48.5
Samuel Basallo,BAL,C,322,0.16,41.9,60.4,21.1,39.4,82.2,35.0,70.1,43.5
Maikel Garcia,KC,3B,318,0.15,43.8,64.0,28.0,23.5,92.9,19.0,55.6,50.6
J.P. Crawford,SEA,SS,364,0.15,44.1,65.4,24.1,19.8,87.9,20.2,57.6,49.5
Spencer Torkelson,DET,1B,507,0.15,40.4,61.7,21.8,22.3,83.2,41.3,66.0,48.7
Luis Lara,MIL,RF,109,0.14,42.3,65.7,26.3,21.6,89.6,21.2,59.0,46.2
Bo Naylor,CLE,C,99,0.13,27.0,63.4,22.2,24.1,93.4,24.4,66.2,48.1
Tyler Soderstrom,ATH,LF,455,0.12,42.7,60.8,20.5,25.8,89.2,31.0,67.9,47.5
Alan Roden,MIN,RF,76,0.12,42.0,60.5,19.6,27.3,91.0,23.9,67.9,49.2
Jacob Hurtubise,MIL,LF,4,0.12,0.0,80.0,20.0,22.2,100.0,50.0,57.1,46.7
Francisco Alvarez,NYM,C,332,0.12,45.1,62.9,23.1,31.9,80.9,35.3,61.9,44.8
Matt McLain,CIN,2B,390,0.11,39.0,61.9,24.4,25.6,83.7,32.0,61.6,47.8
Teoscar Hernández,LAD,LF,368,0.11,39.5,61.4,21.3,28.5,79.2,43.0,67.2,47.1
Joey Wiemer,WSH,RF,91,0.1,44.4,66.7,23.6,25.9,84.0,36.1,59.5,45.5
Brian Serven,ATH,C,41,0.1,32.4,63.0,19.0,27.2,80.0,23.1,66.7,48.7
Tyler Locklear,AZ,1B,42,0.09,37.5,53.4,18.6,27.1,80.6,18.6,72.1,50.3
Cody Bellinger,NYY,LF,444,0.09,43.1,62.1,24.9,29.9,88.1,25.2,63.3,48.0
Dane Myers,CIN,CF,247,0.08,42.2,62.2,25.1,24.2,87.0,23.1,61.3,48.5
Nick Sogard,BOS,2B,136,0.08,43.0,67.4,19.6,22.1,92.2,25.7,61.4,45.1
Bryce Eblin,CWS,SS,2,0.08,0.0,71.4,16.7,37.5,100.0,0.0,66.7,30.0
Dylan Beavers,BAL,RF,237,0.08,38.0,62.9,22.1,22.5,86.0,30.4,60.8,49.4
Hunter Goodman,COL,C,471,0.07,36.4,57.4,20.8,40.3,79.1,41.4,72.3,42.7
Christian Bethancourt,CHC,C,2,0.07,0.0,100.0,0.0,42.9,,100.0,,0.0
Manny Machado,SD,3B,536,0.07,37.5,60.5,20.3,30.0,84.8,32.4,67.2,47.6
Joc Pederson,TEX,DH,388,0.07,44.1,60.8,24.6,29.9,81.1,31.7,63.7,48.5
Justin Dean,CHC,CF,10,0.07,41.7,51.9,12.5,38.1,69.2,50.0,81.2,43.2
Joe Mack,MIA,C,247,0.06,41.8,57.8,22.5,26.4,84.1,34.5,68.5,49.1
Jayson Bass,MIN,OF,3,0.06,0.0,62.5,16.7,44.4,100.0,0.0,75.0,40.0
Owen Caissie,MIA,RF,295,0.06,38.5,61.6,23.3,29.7,80.1,43.0,65.9,46.1
Jackson Merrill,SD,CF,527,0.06,31.9,55.1,17.5,37.2,83.7,26.7,77.7,45.8
Mario Camilletti,CWS,2B,1,0.06,0.0,66.7,0.0,0.0,66.7,50.0,75.0,57.1
George Lombard Jr.,NYY,SS,50,0.06,54.1,61.1,25.4,26.2,80.3,16.7,62.9,49.5
Randy Arozarena,SEA,LF,521,0.05,46.5,60.5,22.1,31.4,78.8,25.6,63.8,46.9
Alex Verdugo,SD,LF,6,0.05,0.0,63.6,26.3,26.7,83.3,0.0,42.9,51.9
Drew Compton,ATL,3B,2,0.05,0.0,80.0,20.0,25.0,100.0,100.0,33.3,50.0
Bryan Ramos,BAL,3B,6,0.05,0.0,55.6,16.7,30.0,100.0,0.0,58.3,63.2
Kody Clemens,MIN,1B,457,0.04,37.3,57.3,24.1,32.4,85.1,27.6,68.2,48.9
Enrique Bradfield Jr.,BAL,OF,5,0.03,,88.2,31.8,6.2,50.0,100.0,22.2,36.0
Ryan Vilade,TB,RF,220,0.03,29.1,56.0,21.7,28.5,86.4,25.5,72.2,50.2
Angel Genao,CLE,2B,46,0.03,55.9,63.2,24.7,27.8,91.3,18.2,65.7,43.8
Seby Zavala,LAD,C,2,0.03,0.0,83.3,16.7,20.0,50.0,0.0,50.0,44.4
Vladimir Guerrero Jr.,TOR,1B,487,0.02,41.8,61.4,21.6,30.7,87.7,24.6,67.4,45.2
Wade Meckler,LAA,LF,225,0.02,47.7,61.1,20.7,24.5,89.3,29.8,66.8,48.5
Caden Kendle,MIN,OF,3,0.0,0.0,55.6,16.7,10.0,87.5,33.3,72.7,57.9
Dustin Harris,HOU,LF,52,0.0,52.4,66.9,23.9,31.7,89.6,17.1,54.5,46.6
Ryan O'Hearn,PIT,RF,406,0.0,40.4,59.5,24.8,31.7,88.3,29.2,64.1,47.8
Jared Young,NYM,1B,260,-0.0,40.5,61.4,19.1,27.2,84.4,29.9,68.8,47.1
Brandon Marsh,PHI,LF,484,-0.01,36.3,56.2,22.3,37.1,89.0,32.2,69.8,47.1
Brent Rooker,ATH,DH,206,-0.01,38.8,58.7,19.8,31.4,77.5,49.7,70.7,46.7
Jace LaViolette,CLE,OF,5,-0.01,0.0,64.7,35.3,9.1,100.0,0.0,46.2,61.9
Kane Kepley,CHC,OF,7,-0.01,0.0,72.7,23.8,17.6,100.0,50.0,50.0,46.7
Michael Conforto,CHC,DH,232,-0.01,35.5,59.7,26.0,26.8,87.5,36.3,62.7,47.9
Carter Johnson,MIA,SS,2,-0.01,0.0,55.6,0.0,0.0,75.0,0.0,100.0,44.4
CJ Abrams,WSH,SS,541,-0.02,40.6,58.6,22.4,36.9,85.4,33.6,67.9,45.5
Michael Busch,CHC,1B,573,-0.02,47.0,62.5,21.9,25.4,86.2,37.4,64.8,47.1
Luis Vázquez,BAL,SS,4,-0.03,0.0,72.7,0.0,36.4,66.7,33.3,75.0,28.6
Ryan Waldschmidt,AZ,CF,227,-0.03,44.6,60.3,26.3,23.0,83.5,41.6,63.1,51.4
Cole Young,SEA,2B,521,-0.04,36.8,57.5,22.7,30.7,88.6,22.0,67.2,49.0
Yohendrick Piñango,TOR,LF,180,-0.04,32.3,58.6,21.9,35.2,83.9,30.1,67.1,49.1
Vinnie Pasquantino,KC,1B,353,-0.04,35.1,64.0,23.1,30.9,91.2,22.0,63.9,45.3
Xander Bogaerts,SD,SS,486,-0.04,57.3,64.1,22.5,22.9,87.0,33.0,61.1,49.0
Drew Cavanaugh,SF,C,94,-0.04,43.4,58.4,20.6,27.1,87.3,28.4,70.7,47.0
Coby Mayo,BAL,3B,339,-0.05,35.1,61.6,24.8,32.2,83.7,42.7,63.7,47.0
Maick Collado,CLE,SS,2,-0.05,,100.0,20.0,33.3,0.0,50.0,50.0,25.0
Braiden Ward,BOS,CF,6,-0.05,0.0,75.0,33.3,21.4,75.0,0.0,36.4,45.8
Jesús Sánchez,TOR,RF,279,-0.05,37.5,56.1,22.3,37.3,82.1,28.1,71.0,46.7
Cam Smith,HOU,RF,455,-0.05,39.4,58.5,23.0,29.5,82.2,41.8,69.3,47.9
Michael Stefanic,ATH,2B,14,-0.05,8.3,71.1,25.0,31.0,93.3,11.1,48.4,54.4
Christian Yelich,MIL,DH,392,-0.06,41.1,61.4,21.5,24.2,81.9,38.9,67.2,48.3
Tommy Troy,AZ,LF,134,-0.06,42.2,62.5,24.8,27.0,80.5,37.3,63.1,49.1
Otto Lopez,MIA,SS,544,-0.07,43.7,60.3,26.3,32.8,91.6,25.1,61.3,49.2
Royce Lewis,MIN,1B,393,-0.07,43.8,60.2,20.0,32.2,82.3,38.5,67.8,46.5
Bryson Stott,PHI,2B,489,-0.07,39.9,64.2,28.6,31.0,90.5,17.8,54.2,47.7
Charles McAdoo,TOR,2B,53,-0.07,30.9,57.9,25.5,30.4,89.7,28.0,66.7,52.8
Rafael Devers,SF,1B,536,-0.07,35.5,58.4,23.2,30.7,76.8,25.2,67.3,48.6
Heliot Ramos,NYY,LF,360,-0.08,37.2,54.4,25.1,35.2,86.0,30.1,71.1,48.2
Ian Happ,CHC,LF,529,-0.08,38.9,62.6,20.9,24.0,79.8,35.9,65.0,47.5
Brandon Lowe,PIT,2B,536,-0.09,41.6,57.7,20.9,32.8,80.8,39.0,70.9,45.6
Zack Gelof,ATH,3B,284,-0.09,39.2,58.2,23.1,23.9,78.9,30.1,66.7,52.2
Colton Cowser,BAL,CF,308,-0.09,43.1,64.9,24.5,29.2,79.5,41.1,59.4,46.7
Lawrence Butler,ATH,RF,393,-0.09,38.7,59.3,20.5,25.3,80.7,30.5,69.5,48.9
Jo Adell,CLE,RF,518,-0.1,34.9,55.4,20.3,36.3,84.2,34.6,74.3,46.3
Marcell Ozuna,PIT,DH,288,-0.1,37.6,64.9,22.6,27.0,82.2,43.5,61.5,46.1
Jake Munroe,LAA,3B,2,-0.1,0.0,66.7,0.0,33.3,100.0,0.0,100.0,60.0
Xavier Edwards,MIA,2B,538,-0.1,39.6,63.1,20.9,23.9,89.3,23.1,64.9,47.5
Jorge Mateo,TB,SS,154,-0.1,34.9,53.9,22.2,43.5,80.3,40.9,68.7,47.6
Jackson Holliday,BAL,2B,257,-0.11,46.9,62.4,22.7,24.4,82.1,33.3,64.5,47.6
Jahmai Jones,BOS,DH,137,-0.11,48.0,56.5,20.6,29.9,76.0,43.2,72.0,48.3
Drew Gilbert,SF,CF,308,-0.11,42.9,63.1,24.5,25.4,89.7,24.8,58.4,49.0
Alec Bohm,PHI,3B,507,-0.11,36.2,59.9,23.8,25.4,91.0,20.4,67.3,50.3
Kyle Tucker,LAD,RF,504,-0.12,38.3,58.1,16.9,24.9,86.6,27.4,73.5,49.3
Daniel Bucciero,ATH,3B,2,-0.13,0.0,40.0,33.3,0.0,100.0,0.0,75.0,100.0
Nate Baez,BOS,C,1,-0.13,0.0,66.7,33.3,0.0,100.0,,50.0,50.0
Ryan McMahon,NYY,3B,314,-0.14,37.3,58.4,25.1,28.9,83.3,38.3,64.1,49.4
Jakey Josepha,AZ,CF,3,-0.15,0.0,70.0,12.5,33.3,100.0,50.0,60.0,38.5
Gunnar Henderson,BAL,SS,578,-0.15,38.8,59.5,21.9,30.2,88.2,26.8,66.7,48.6
Ethan Workinger,ATL,CF,2,-0.15,0.0,55.6,0.0,20.0,75.0,,80.0,50.0
Jeremy Peña,HOU,SS,340,-0.16,46.2,55.3,17.1,36.7,84.8,41.9,75.5,46.3
Wyatt Langford,TEX,LF,329,-0.16,33.9,56.5,21.5,26.4,86.6,26.6,70.4,50.5
Miguel Rojas,LAD,2B,205,-0.17,38.2,58.9,20.7,31.0,89.7,24.1,70.1,46.6
Kazuma Okamoto,TOR,3B,509,-0.18,35.3,58.8,21.5,28.9,79.5,35.5,67.8,48.4
Mike Yastrzemski,ATL,LF,328,-0.18,38.2,62.8,26.1,25.9,86.1,22.5,57.9,49.6
Owen Ayers,CHC,C,2,-0.18,0.0,50.0,33.3,0.0,100.0,,75.0,100.0
Kyle Teel,CWS,C,70,-0.19,38.1,59.5,23.7,33.1,79.5,38.0,68.2,43.7
Jacob Young,WSH,CF,390,-0.19,45.4,61.1,28.5,27.6,87.4,29.1,59.3,50.4
Charles Davalan,LAD,OF,2,-0.2,0.0,85.7,0.0,28.6,0.0,66.7,66.7,30.0
Yolmer Sánchez,LAA,3B,7,-0.2,0.0,73.1,13.6,21.7,66.7,33.3,69.2,37.1
Alex Bregman,CHC,3B,579,-0.2,40.1,62.6,24.3,22.4,91.2,25.6,60.1,50.1
Tommy Edman,LAD,2B,190,-0.2,43.8,58.3,22.3,31.2,91.4,26.6,67.0,48.2
Bo Bichette,NYM,3B,556,-0.21,33.7,56.3,24.6,40.8,92.5,25.5,67.5,45.8
Joshua Kuroda-Grauer,ATH,3B,65,-0.21,29.1,55.6,24.1,40.5,89.0,19.4,67.2,50.2
Carson Kelly,CHC,C,342,-0.22,37.2,61.7,21.4,25.3,91.3,31.0,64.5,47.7
Ke'Bryan Hayes,CIN,3B,203,-0.22,40.6,61.2,27.9,29.8,91.1,32.8,59.4,49.2
Payton Henry,NYY,C,6,-0.23,0.0,60.0,33.3,28.6,80.0,0.0,55.6,75.0
Kai Murphy,SD,OF,3,-0.23,0.0,57.1,20.0,0.0,80.0,50.0,83.3,85.7
Jordan Lawlar,AZ,LF,63,-0.23,34.5,61.5,20.1,27.4,89.6,25.0,68.1,46.9
Jung Hoo Lee,SF,RF,474,-0.24,39.0,58.7,25.8,31.5,95.1,12.0,62.5,50.6
Paul Goldschmidt,NYY,1B,338,-0.25,34.4,60.8,22.7,32.2,79.1,26.6,63.7,48.1
Ryan Jackson,SD,SS,5,-0.25,0.0,60.0,25.0,28.6,100.0,20.0,62.5,66.7
Brendan Summerhill,TB,OF,2,-0.25,0.0,33.3,0.0,50.0,100.0,,100.0,66.7
Austin Murr,PHI,LF,1,-0.25,0.0,50.0,0.0,0.0,100.0,0.0,100.0,66.7
Alec Briley,CWS,3B,2,-0.25,0.0,33.3,0.0,0.0,100.0,0.0,100.0,100.0
Ty France,SD,1B,373,-0.26,32.5,53.9,19.7,32.8,86.3,25.0,75.6,47.5
Trevor Larnach,MIN,LF,389,-0.26,47.8,63.8,25.5,29.9,86.1,37.8,59.9,46.9
Tim Tawa,AZ,1B,234,-0.26,40.7,59.4,20.3,31.5,82.2,35.7,69.6,47.1
Omar Alfonzo,PIT,C,2,-0.26,0.0,60.0,0.0,14.3,80.0,50.0,100.0,50.0
Kyle Manzardo,CLE,1B,367,-0.27,35.4,59.7,23.4,30.7,81.9,36.2,64.2,47.9
Ryan Ward,LAD,LF,60,-0.27,25.0,52.1,25.4,32.1,83.5,11.5,77.1,46.8
Brock Jones,TB,OF,1,-0.27,0.0,80.0,0.0,33.3,100.0,50.0,100.0,14.3
Victor Caratini,MIN,C,341,-0.27,45.5,62.7,28.8,24.9,91.0,35.3,58.8,49.2
Daniel Johnson,HOU,CF,17,-0.28,57.1,62.2,23.3,28.1,92.9,28.6,66.7,39.6
Tyler O'Neill,BAL,RF,259,-0.28,37.2,59.1,21.8,28.3,83.8,36.7,69.6,46.3
Nico Hoerner,CHC,2B,559,-0.28,37.5,60.0,26.5,31.6,96.0,18.5,60.8,49.6
Gavin Sheets,SD,1B,405,-0.28,37.0,65.9,24.5,31.2,90.1,27.0,57.6,45.7
Spencer Horwitz,PIT,1B,354,-0.28,39.6,64.2,24.2,24.3,93.0,16.7,59.5,47.8
Carlos Cortes,ATH,RF,292,-0.28,37.5,60.8,21.2,25.7,84.9,26.4,65.8,49.1
Cole Carrigg,COL,CF,230,-0.28,37.7,59.1,19.0,34.0,85.3,29.4,72.8,45.2
Geraldo Perdomo,AZ,SS,542,-0.28,40.3,65.1,25.6,21.0,91.5,13.0,57.0,50.1
Milan Tolentino,CLE,SS,4,-0.29,0.0,69.2,10.0,25.0,75.0,50.0,50.0,57.1
J.T. Realmuto,PHI,C,364,-0.29,40.9,59.3,24.6,30.5,85.5,30.0,65.0,48.8
Steven Kwan,CLE,LF,489,-0.29,37.8,65.5,29.3,20.3,97.1,14.2,51.4,50.1
Ramón Laureano,SD,LF,214,-0.29,35.3,58.8,19.7,32.1,82.3,39.8,70.4,46.7
Austin Riley,ATL,3B,516,-0.3,38.5,60.7,23.4,32.3,81.2,36.2,67.5,45.2
Alex Freeland,LAD,2B,234,-0.3,39.9,63.9,23.7,22.0,80.4,41.8,60.3,49.2
Adolis García,PHI,RF,267,-0.3,40.5,62.9,22.4,29.6,81.9,38.3,63.4,46.2
Marcus Semien,NYM,2B,426,-0.31,37.2,56.0,20.2,27.9,86.4,29.0,71.2,51.2
Johnathan Rodríguez,BAL,RF,15,-0.31,40.0,63.6,12.5,25.6,84.0,31.6,75.8,43.4
Eric Hartman,ATL,OF,1,-0.32,,100.0,0.0,66.7,,,,0.0
José Fermín,STL,LF,278,-0.32,37.7,63.8,26.9,21.9,93.0,11.9,56.4,50.9
Henry Bolte,ATH,CF,319,-0.32,50.5,59.4,17.0,29.4,81.6,38.7,73.9,47.1
Austin Martin,MIN,RF,343,-0.32,50.0,62.5,22.1,18.4,88.1,34.4,62.7,49.6
Tomás Nido,DET,C,4,-0.32,0.0,25.0,0.0,100.0,100.0,,75.0,133.3
Seaver King,WSH,SS,3,-0.32,0.0,66.7,25.0,33.3,66.7,0.0,42.9,63.6
Kyle Sinzza,AZ,SS,1,-0.33,0.0,50.0,0.0,25.0,100.0,,100.0,57.1
Brandon Valenzuela,TOR,C,229,-0.33,35.0,57.1,23.3,29.4,86.3,34.8,70.5,49.5
Nick Yorke,PIT,3B,104,-0.33,37.4,56.2,22.9,27.4,89.8,24.6,69.9,50.1
Brett Baty,NYM,3B,397,-0.33,38.1,58.0,20.8,29.4,83.7,37.3,68.3,50.2
Josh Naylor,SEA,1B,509,-0.34,42.6,57.6,21.9,37.4,90.8,27.2,69.7,44.6
Dansby Swanson,CHC,SS,467,-0.34,44.4,60.4,16.7,26.8,81.1,35.8,70.5,47.3
Carter Jensen,KC,C,478,-0.34,37.1,62.5,20.3,25.1,84.3,28.2,67.1,47.0
Liam Hicks,TB,C,466,-0.34,43.3,64.5,23.1,27.0,96.8,17.9,57.7,47.2
Andruw Monasterio,BOS,SS,298,-0.34,30.9,57.7,22.9,26.6,89.5,24.5,65.7,51.0
José Tena,WSH,DH,254,-0.34,44.9,58.6,22.3,30.0,78.8,40.3,69.7,48.5
Ramon Mendoza,STL,3B,6,-0.35,0.0,93.8,28.6,26.3,100.0,100.0,22.2,33.3
Luis Urías,TOR,2B,59,-0.35,30.8,58.8,15.7,31.4,93.5,12.5,70.6,47.4
James Tibbs III,LAD,RF,6,-0.37,0.0,75.0,20.0,31.2,83.3,0.0,60.0,41.7
Austin Hendrick,CIN,OF,2,-0.37,0.0,66.7,20.0,0.0,50.0,50.0,50.0,57.1
Andrew Benintendi,CWS,DH,382,-0.37,36.9,56.0,20.1,32.6,79.5,31.4,74.0,47.4
Masataka Yoshida,BOS,DH,306,-0.37,42.1,63.5,26.6,28.2,91.6,22.5,58.2,48.1
Angel Martínez,CLE,LF,324,-0.37,30.2,56.3,27.2,43.6,88.1,24.1,66.1,47.4
Isaac Paredes,HOU,3B,513,-0.37,35.6,63.4,23.0,27.9,90.4,22.1,61.5,47.3
Jake Fraley,TB,RF,98,-0.37,27.6,59.1,23.2,21.3,89.1,31.7,66.7,51.2
Tsung-Che Cheng,BOS,SS,44,-0.37,57.1,57.8,25.9,29.3,76.8,34.3,67.5,50.3
Luke Keaschall,MIN,2B,479,-0.37,40.3,62.6,23.1,22.7,90.7,23.5,61.9,49.2
Ed Howard,CHC,SS,2,-0.38,0.0,57.1,0.0,20.0,100.0,100.0,100.0,50.0
Amed Rosario,NYY,3B,211,-0.38,33.5,58.9,23.3,39.6,83.7,32.5,71.4,45.6
Cooper Pratt,MIL,SS,164,-0.38,45.1,63.0,24.6,28.1,87.4,27.5,60.7,50.9
Gabriel Davalillo,LAA,C,3,-0.38,0.0,50.0,33.3,0.0,100.0,0.0,100.0,60.0
Jeferson Quero,MIL,C,5,-0.38,33.3,80.0,11.1,33.3,100.0,50.0,80.0,33.3
Troy Johnston,COL,RF,385,-0.38,39.5,57.8,18.7,35.4,88.1,23.0,70.6,47.6
Victor Mesa Jr.,TB,RF,179,-0.38,31.9,56.2,20.1,34.5,85.0,23.6,76.5,46.4
Colson Montgomery,CWS,SS,508,-0.38,37.8,56.8,20.2,32.2,81.5,39.6,74.5,47.0
Kevin Alcántara,CHC,DH,34,-0.39,40.0,64.3,31.6,32.0,66.7,55.2,56.2,47.1
Rhys Hoskins,CLE,1B,327,-0.39,37.4,63.9,22.0,22.1,77.9,38.5,63.6,48.0
Iván Herrera,STL,DH,568,-0.39,46.0,61.0,25.7,28.8,88.4,27.5,62.6,47.2
Isaac Collins,KC,LF,425,-0.39,44.7,62.3,26.6,21.0,88.9,35.9,58.7,50.2
Max Clark,DET,CF,75,-0.4,30.8,53.4,22.0,34.6,91.9,29.3,68.8,52.0
Jakob Marsee,MIA,CF,493,-0.4,42.4,65.2,24.0,22.9,91.6,31.6,58.8,48.6
Mitch Garver,SEA,C,154,-0.4,45.5,65.5,22.2,25.8,76.7,56.0,62.1,45.0
Derek Hill,PHI,CF,187,-0.41,35.9,59.5,23.1,34.1,75.0,40.1,68.4,46.2
Ben Malgeri,DET,RF,71,-0.41,42.9,63.5,20.4,28.4,89.0,46.0,69.5,44.4
Max Schuemann,NYY,LF,96,-0.41,36.0,64.9,21.9,21.1,84.3,38.2,63.9,45.5
Jose Siri,LAA,CF,153,-0.42,42.2,54.7,26.3,44.3,76.4,42.4,68.4,45.9
Hao-Yu Lee,DET,2B,227,-0.42,40.5,56.5,24.3,30.3,84.6,28.2,67.9,49.1
Darell Morel,PIT,SS,1,-0.42,0.0,100.0,33.3,0.0,100.0,0.0,66.7,60.0
Dylan Crews,WSH,RF,306,-0.42,40.5,55.2,23.3,32.8,83.0,46.3,73.2,47.0
Luis Robert Jr.,NYM,CF,190,-0.42,37.6,61.8,19.7,32.8,86.6,35.6,69.0,44.9
Masyn Winn,STL,SS,495,-0.43,41.4,62.0,27.2,24.0,87.0,27.9,59.0,49.7
Shay Whitcomb,HOU,3B,26,-0.43,23.8,64.5,23.1,37.9,88.5,61.1,61.9,42.0
Nick Gonzales,PIT,3B,502,-0.43,40.0,54.0,20.6,32.2,87.4,28.2,75.9,48.5
Jax Biggers,HOU,2B,5,-0.43,0.0,53.8,12.5,30.0,100.0,50.0,87.5,57.1
Carter Trice,CHC,2B,4,-0.43,0.0,66.7,27.3,0.0,50.0,,40.0,71.4
Tommy White,ATH,3B,120,-0.44,35.8,57.7,16.7,37.9,89.7,24.7,70.5,46.2
Tyrone Taylor,CHC,LF,192,-0.44,35.0,58.8,25.1,34.8,89.2,26.3,65.4,47.6
TJ Rumfield,COL,1B,508,-0.44,36.1,59.6,17.5,31.1,92.6,27.5,73.1,46.0
Daylen Lile,WSH,LF,529,-0.44,33.6,53.5,18.9,38.9,88.1,25.6,76.3,46.1
Dasan Brown,MIL,CF,5,-0.45,0.0,62.5,9.1,0.0,55.6,0.0,81.8,64.7
Anthony Seigler,BOS,2B,158,-0.45,39.9,58.0,23.9,27.4,86.2,27.6,66.1,49.7
Matt Vierling,DET,CF,299,-0.46,31.9,57.8,27.1,32.0,90.6,18.7,63.3,50.9
Brandon Drury,KC,3B,4,-0.46,0.0,58.3,22.2,0.0,71.4,0.0,70.0,76.9
Mark Vientos,NYM,1B,261,-0.46,34.4,56.0,19.8,36.8,80.5,39.1,74.8,47.5
Gavin Kilen,SF,SS,6,-0.46,0.0,58.3,12.5,30.0,100.0,,80.0,45.5
Jake McCarthy,COL,LF,453,-0.46,36.5,52.0,18.8,39.1,85.9,30.6,78.9,47.0
Zach Cole,HOU,LF,59,-0.47,31.8,58.3,31.2,27.2,65.8,47.3,61.8,50.0
Sterlin Thompson,COL,RF,77,-0.48,40.3,60.6,16.0,29.5,82.9,43.5,75.5,44.6
Chase Meidroth,CWS,2B,519,-0.48,39.4,62.1,28.8,27.8,87.3,26.4,54.7,50.1
Alejandro Kirk,TOR,C,204,-0.48,36.9,62.1,24.8,29.8,90.3,20.0,59.5,48.7
Edwin Arroyo,CIN,2B,142,-0.49,36.6,49.9,16.9,39.5,84.0,28.9,78.9,49.2
Ali Sánchez,NYY,C,66,-0.49,38.5,55.5,24.8,31.0,81.6,18.4,65.0,50.4
Jaison Chourio,CLE,OF,5,-0.49,0.0,40.0,20.0,25.0,83.3,0.0,75.0,100.0
Richie Palacios,TB,2B,314,-0.5,38.4,63.0,21.9,31.3,86.2,27.2,63.9,43.6
Leo Jiménez,MIA,3B,178,-0.5,45.1,62.2,23.8,26.9,88.5,35.0,63.2,46.1
George Springer,TOR,DH,412,-0.5,39.4,58.1,18.3,24.2,88.2,28.9,73.2,47.8
Harry Genth,MIN,SS,1,-0.5,0.0,80.0,20.0,25.0,100.0,,33.3,42.9
Jazz Chisholm Jr.,NYY,2B,465,-0.5,39.5,60.6,26.0,28.6,79.0,36.3,63.5,47.4
Braden Montgomery,CWS,RF,243,-0.51,46.1,57.9,16.3,28.1,85.0,33.9,75.7,46.0
Gavin Lux,TB,LF,6,-0.51,0.0,61.5,20.0,25.0,88.9,20.0,64.3,45.2
Blaze Jordan,STL,3B,177,-0.51,34.9,53.6,23.6,35.8,88.6,24.7,71.7,49.8
Willy Adames,SF,SS,495,-0.53,36.7,58.3,23.8,31.7,84.0,36.0,66.1,48.3
Yainer Diaz,HOU,C,250,-0.53,38.0,54.9,21.9,42.1,92.0,22.8,73.1,47.1
César Salazar,HOU,C,25,-0.54,40.0,64.8,23.3,25.4,93.1,18.5,64.4,43.3
Jasson Domínguez,NYY,RF,221,-0.54,36.8,58.1,22.1,35.8,89.1,30.6,69.4,46.2
Fenwick Trimble,MIA,OF,3,-0.54,0.0,50.0,33.3,0.0,100.0,0.0,66.7,66.7
Austin Hays,SD,LF,63,-0.54,44.7,56.8,20.0,38.8,77.2,38.4,73.8,45.1
Spencer Jones,NYY,CF,166,-0.54,32.7,58.2,15.1,35.4,73.6,45.4,76.1,43.8
Jarren Duran,BOS,LF,512,-0.55,40.5,58.3,22.7,35.0,84.4,36.8,67.7,47.9
Max Muncy,ATH,3B,222,-0.56,37.9,58.0,19.3,33.8,82.6,37.5,69.9,47.2
Kay-Lan Nicasia,MIL,OF,1,-0.56,0.0,100.0,0.0,0.0,50.0,100.0,100.0,50.0
Matt Halbach,CHC,3B,1,-0.56,0.0,100.0,0.0,0.0,50.0,,100.0,50.0
Luis Torrens,NYM,C,234,-0.56,35.3,61.3,23.3,31.4,87.1,29.1,65.0,46.9
Jorge Soler,LAA,DH,369,-0.56,44.2,60.7,21.3,27.5,78.0,44.9,69.0,47.5
Taylor Trammell,HOU,CF,209,-0.56,40.5,58.4,23.5,28.0,74.5,46.7,68.1,50.6
Moisés Ballesteros,LAA,DH,243,-0.56,39.7,62.1,20.6,34.3,86.0,21.6,67.0,42.5
Tyler Tolbert,KC,SS,114,-0.56,38.9,55.1,19.8,26.8,79.9,38.4,73.0,51.9
Dominic Smith,ATL,DH,289,-0.57,36.5,58.9,21.4,31.0,89.0,28.6,67.9,48.3
Jim Jarvis,ATL,SS,121,-0.57,41.4,62.9,20.7,27.9,90.2,22.1,63.0,48.0
Collin Price,HOU,C,13,-0.57,75.0,55.9,29.6,32.1,70.6,62.5,68.0,47.2
Kerry Carpenter,DET,RF,271,-0.57,33.6,59.8,23.2,36.0,82.2,32.8,67.4,45.9
Everson Pereira,STL,RF,112,-0.57,37.2,57.1,18.2,36.2,81.0,43.6,75.9,47.3
Will Turner,BOS,OF,2,-0.58,0.0,50.0,50.0,0.0,100.0,,50.0,100.0
Jake Burger,TEX,1B,490,-0.58,42.7,58.5,23.5,36.0,81.6,40.9,67.0,45.6
Trevor Hauver,TEX,2B,1,-0.58,,50.0,50.0,,100.0,,33.3,150.0
Brady Counsell,AZ,SS,1,-0.58,,50.0,50.0,,100.0,0.0,33.3,150.0
Joe Olsavsky,ATL,SS,1,-0.58,0.0,50.0,50.0,0.0,100.0,,50.0,100.0
Ricardo Romero,CLE,SS,1,-0.58,0.0,50.0,50.0,0.0,100.0,,50.0,100.0
Matthew Wood,MIL,C,1,-0.58,0.0,50.0,50.0,0.0,100.0,0.0,50.0,100.0
